kind,name,detail,position,data_type,is_nullable,column_default
column,job_change_orders,markup_pct,14,numeric,YES,0
column,job_change_orders,schedule_impact_days,15,integer,YES,0
column,job_change_orders,client_viewed_at,16,timestamp with time zone,YES,null
column,job_change_orders,approved_at,17,timestamp with time zone,YES,null
column,job_change_orders,rejected_at,18,timestamp with time zone,YES,null
column,job_change_orders,requested_by_user_id,19,uuid,YES,null
column,job_change_orders,approved_by_user_id,20,uuid,YES,null
column,job_change_orders,signature_document_id,21,uuid,YES,null
column,job_change_orders,ai_drafted,22,boolean,NO,false
column,job_change_orders,updated_at,23,timestamp with time zone,YES,null
column,jobs,id,1,uuid,NO,gen_random_uuid()
column,jobs,tenant_id,2,uuid,NO,null
column,jobs,job_number,3,text,NO,null
column,jobs,job_name,4,text,NO,null
column,jobs,customer_id,5,uuid,NO,null
column,jobs,status,6,text,NO,'Estimate'::text
column,jobs,job_type,7,text,NO,'General'::text
column,jobs,start_date,8,date,YES,null
column,jobs,end_date,9,date,YES,null
column,jobs,contract_amount_cents,10,integer,NO,0
column,jobs,description,11,text,NO,''::text
column,jobs,job_address,12,text,NO,''::text
column,jobs,notes,13,text,NO,''::text
column,jobs,created_at,14,timestamp with time zone,NO,now()
column,jobs,updated_at,15,timestamp with time zone,NO,now()
column,jobs,project_type,16,text,YES,null
column,jobs,address_line1,17,text,YES,null
column,jobs,address_line2,18,text,YES,null
column,jobs,city,19,text,YES,null
column,jobs,state,20,text,YES,'CA'::text
column,jobs,zip,21,text,YES,null
column,jobs,apn,22,text,YES,null
column,jobs,target_completion,23,date,YES,null
column,jobs,actual_completion,24,date,YES,null
column,jobs,contract_value_cents,25,bigint,YES,null
column,jobs,current_contract_cents,26,bigint,YES,null
column,jobs,permit_number,27,text,YES,null
column,jobs,permit_issued_date,28,date,YES,null
column,jobs,permit_expiry_date,29,date,YES,null
column,jobs,has_construction_loan,30,boolean,NO,false
column,jobs,lender_name,31,text,YES,null
column,jobs,loan_amount_cents,32,bigint,YES,null
column,jobs,pm_user_id,33,uuid,YES,null
column,jobs,superintendent_user_id,34,uuid,YES,null
column,jobs,package_name,35,text,YES,null
column,jobs,tags,36,_text[],NO,'{}'::text[]
column,jobs,internal_notes,37,text,YES,null
column,journal_entries,id,1,uuid,NO,gen_random_uuid()
column,journal_entries,tenant_id,2,uuid,NO,null
column,journal_entries,entry_number,3,text,NO,null
column,journal_entries,entry_date,4,date,NO,null
column,journal_entries,description,5,text,NO,''::text
column,journal_entries,source_type,6,text,NO,null
column,journal_entries,source_record_id,7,uuid,YES,null
column,journal_entries,is_balanced,8,boolean,NO,false
column,journal_entries,total_debits_cents,9,integer,NO,0
column,journal_entries,total_credits_cents,10,integer,NO,0
column,journal_entries,notes,11,text,NO,''::text
column,journal_entries,created_at,12,timestamp with time zone,NO,now()
column,journal_lines,id,1,uuid,NO,gen_random_uuid()
column,journal_lines,tenant_id,2,uuid,NO,null
column,journal_lines,journal_entry_id,3,uuid,NO,null
column,journal_lines,account_id,4,uuid,YES,null
column,journal_lines,account_number,5,integer,NO,0
column,journal_lines,account_name,6,text,NO,''::text
column,journal_lines,account_type,7,text,NO,''::text
column,journal_lines,normal_balance,8,text,NO,'Debit'::text
column,journal_lines,debit_cents,9,integer,NO,0
column,journal_lines,credit_cents,10,integer,NO,0
column,journal_lines,description,11,text,NO,''::text
column,journal_lines,entry_date,12,date,NO,null
column,journal_lines,source_type,13,text,NO,''::text
column,journal_lines,job_id,14,uuid,YES,null
column,lien_waivers,id,1,uuid,NO,gen_random_uuid()
column,lien_waivers,tenant_id,2,uuid,NO,null
column,lien_waivers,project_id,3,uuid,NO,null
column,lien_waivers,subcontractor_id,4,uuid,NO,null
column,lien_waivers,type,5,lien_waiver_type,NO,null
column,lien_waivers,amount_cents,6,bigint,NO,null
column,lien_waivers,through_date,7,date,NO,null
column,lien_waivers,received_at,8,timestamp with time zone,YES,null
column,lien_waivers,document_id,9,uuid,YES,null
column,lien_waivers,purchase_order_id,10,uuid,YES,null
column,lien_waivers,created_at,11,timestamp with time zone,NO,now()
column,line_item_templates,id,1,uuid,NO,gen_random_uuid()
column,line_item_templates,tenant_id,2,uuid,YES,null
column,line_item_templates,name,3,text,NO,null
column,line_item_templates,description,4,text,YES,null
column,line_item_templates,unit,5,text,NO,'ls'::text
column,line_item_templates,default_unit_cost,6,bigint,NO,0
column,line_item_templates,default_markup_pct,7,numeric,NO,0
column,line_item_templates,csi_division,8,text,YES,null
column,line_item_templates,trade,9,text,YES,null
column,line_item_templates,default_account_id,10,uuid,YES,null
column,line_item_templates,tags,11,_text[],NO,'{}'::text[]
column,line_item_templates,is_active,12,boolean,NO,true
column,line_item_templates,created_at,13,timestamp with time zone,NO,now()
column,line_item_templates,updated_at,14,timestamp with time zone,NO,now()
column,message_threads,id,1,uuid,NO,gen_random_uuid()
column,message_threads,tenant_id,2,uuid,NO,null
column,message_threads,project_id,3,uuid,NO,null
column,message_threads,type,4,thread_type,NO,'general'::thread_type
column,message_threads,subject,5,text,NO,null
column,message_threads,participant_ids,6,_uuid[],NO,'{}'::uuid[]
column,message_threads,is_client_visible,7,boolean,NO,false
column,message_threads,linked_record_id,8,uuid,YES,null
column,message_threads,created_by,9,uuid,YES,null
column,message_threads,created_at,10,timestamp with time zone,NO,now()
column,message_threads,updated_at,11,timestamp with time zone,NO,now()
column,messages,id,1,uuid,NO,gen_random_uuid()
column,messages,thread_id,2,uuid,NO,null
column,messages,tenant_id,3,uuid,NO,null
column,messages,sender_id,4,uuid,NO,null
column,messages,body,5,text,NO,null
column,messages,attachment_ids,6,_uuid[],NO,'{}'::uuid[]
column,messages,read_by,7,jsonb,NO,'{}'::jsonb
column,messages,is_system_message,8,boolean,NO,false
column,messages,created_at,9,timestamp with time zone,NO,now()
column,milestones,id,1,uuid,NO,gen_random_uuid()
column,milestones,project_id,2,uuid,NO,null
column,milestones,tenant_id,3,uuid,NO,null
column,milestones,phase_id,4,uuid,YES,null
column,milestones,name,5,text,NO,null
column,milestones,description,6,text,YES,null
column,milestones,due_date,7,date,YES,null
column,milestones,completed_date,8,date,YES,null
column,milestones,status,9,phase_status,NO,'not_started'::phase_status
column,milestones,sequence,10,integer,NO,0
column,milestones,is_client_visible,11,boolean,NO,true
column,milestones,requires_client_approval,12,boolean,NO,false
column,milestones,client_approved_at,13,timestamp with time zone,YES,null
column,milestones,client_approved_by,14,uuid,YES,null
column,milestones,triggers_draw_request,15,boolean,NO,false
column,milestones,triggers_invoice,16,boolean,NO,false
column,milestones,linked_draw_id,17,uuid,YES,null
column,milestones,linked_invoice_id,18,uuid,YES,null
column,milestones,created_at,19,timestamp with time zone,NO,now()
column,milestones,updated_at,20,timestamp with time zone,NO,now()
column,notification_templates,id,1,uuid,NO,gen_random_uuid()
column,notification_templates,tenant_id,2,uuid,YES,null
column,notification_templates,slug,3,text,NO,null
column,notification_templates,channel,4,text,NO,null
column,notification_templates,subject,5,text,YES,null
column,notification_templates,body,6,text,NO,null
column,notification_templates,is_active,7,boolean,NO,true
column,notification_templates,created_at,8,timestamp with time zone,NO,now()
column,notifications,id,1,uuid,NO,gen_random_uuid()
column,notifications,tenant_id,2,uuid,NO,null
column,notifications,user_id,3,uuid,NO,null
column,notifications,type,4,text,NO,null
column,notifications,title,5,text,NO,null
column,notifications,body,6,text,YES,null
column,notifications,data,7,jsonb,NO,'{}'::jsonb
column,notifications,action_url,8,text,YES,null
column,notifications,read_at,9,timestamp with time zone,YES,null
column,notifications,dismissed_at,10,timestamp with time zone,YES,null
column,notifications,sms_sent_at,11,timestamp with time zone,YES,null
column,notifications,email_sent_at,12,timestamp with time zone,YES,null
column,notifications,created_at,13,timestamp with time zone,NO,now()
column,payments,id,1,uuid,NO,gen_random_uuid()
column,payments,tenant_id,2,uuid,NO,null
column,payments,invoice_id,3,uuid,NO,null
column,payments,payment_date,4,date,NO,null
column,payments,amount_cents,5,integer,NO,null
column,payments,payment_method,6,text,NO,null
column,payments,reference_number,7,text,NO,''::text
